season,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout,category
2022,124,6638.12,20805.9765,11126.434583333334,Four legs 1 lifeline
2023,164,9846.26,28638.0025,11304.529533333334,Four legs 1 lifeline
2024,255,14034.34,46071.3372,17737.2611,Four legs 1 lifeline
2025,670,54087.12,257593.3426,114509.00519166667,Four legs 1 lifeline
2022,62,2411.779986,12637.77147576,8788.48813863,Six legs 2 lifelines
2023,124,13175.710008,42415.38449568,18568.650159052,Six legs 2 lifelines
2024,151,11804.73,49082.7879744,24418.738206924,Six legs 2 lifelines
2025,321,34035.080046,117256.84107486,49469.299650276,Six legs 2 lifelines
2022,32,1723.58,14885.126,11048.130071428572,Eight legs 3 lifeline
2023,84,6527.42,30573.909,14119.518839285714,Eight legs 3 lifeline
2024,84,3601.8,29857.191,14704.040464285714,Eight legs 3 lifeline
2025,155,14932.89,70798.4955,40604.405776785716,Eight legs 3 lifeline
